FirstName,LastName,Gender,Title,CompanyName,AnnualRevenue,NumEmployees,DateLastContacted,CompanyLocation,EmailAddress,DealSize,Industry,NumOpens,DaysSince,DealStatus,SalesNotes
Victor,Garcia,0,Director,TechnoSolve LLC,97310078,4866,2024-01-27,Spain,vgarcia@technosolvellc.com,486550,Finance,16,180,Suspect,"Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with supply chain disruptions. Attended Sales Sinner and met with Manager. They're exploring options to improve their operational efficiency and mentioned our competitor, IBM IX. Follow-up email sent. Follow-up call after proposal submission. Manager had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Richard,Choi,0,Manager,UltraMarket LLC,96020180,4801,2024-05-18,USA,rchoi@ultramarketllc.com,480101,Mining,62,68,Opportunity,Initial outreach via LinkedIn. Prospect expressed interest in our supply chain optimization. Scheduled a discovery call for 2024-08-09 to discuss their specific needs. Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with difficulty adapting to remote work. Shared our company overview and case studies relevant to their industry. VP is particularly interested in understanding how we measure ROI on our engagements. VP requested a meeting to discuss expanding the project scope to include change management.
Telyssa,Riedel,1,Director,MegaSoft Ltd,25684908,1284,2024-03-05,China,triedel@megasoftltd.com,128425,Health Care,9,142,Prospect,Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with increased competition. Initial outreach via LinkedIn. Prospect expressed interest in our marketing strategy. Scheduled a discovery call for 2024-08-11 to discuss their specific needs. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-11 to discuss next steps. CTO requested a meeting to discuss expanding the project scope to include change management.
Anmol,Pham,0,Manager,SuperMarket LLC,93002155,4650,2024-04-22,USA,apham@supermarketllc.com,465011,Professional,22,94,Lead,"Attended Webinar and met with CEO. They're exploring options to improve their change management and mentioned our competitor, Deloitte. Follow-up email sent. Attended Webinar and met with CEO. They're exploring options to improve their change management and mentioned our competitor, Deloitte. Follow-up email sent. Shared our company overview and case studies relevant to their industry. CEO is particularly interested in understanding how we measure ROI on our engagements. Follow-up call after proposal submission. CEO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly."
Oneida,Diaz,1,Senior Manager,EduHard LLP,77444336,3872,2024-02-23,Germany,odiaz@eduhardllp.com,387222,Retail Trade,34,153,Suspect,Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-01 to discuss their specific needs. Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with shortage of qualified workers. Manager requested a meeting to discuss expanding the project scope to include data visualization.
Samantha,Berg,1,VP,EcoMarket Inc,23030452,1152,2024-01-31,Brazil,sberg@ecomarketinc.com,115152,Agriculture,33,176,Suspect,"Attended Industry Conference and met with CEO. They're exploring options to improve their change management and mentioned our competitor, KPMG. Follow-up email sent. Attended Industry Conference and met with CEO. They're exploring options to improve their change management and mentioned our competitor, KPMG. Follow-up email sent. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-06 to discuss next steps. CEO requested a meeting to discuss expanding the project scope to include large language models."
Gabriella,Martinez,1,Manager,SuperStore LLC,64968099,3248,2024-06-22,USA,gmartinez@superstorellc.com,324840,Information,67,33,Opportunity,"Attended Trade Show and met with Director. They're exploring options to improve their data analytics capabilities and mentioned our competitor, Deloitte. Follow-up email sent. Attended Trade Show and met with Director. They're exploring options to improve their data analytics capabilities and mentioned our competitor, Deloitte. Follow-up email sent. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-19 to discuss next steps. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in data analytics capabilities."
Flor,Pantoya,1,Marketing Associate,InfoHard LLP,8780867,439,2024-06-07,Canada,fpantoya@infohardllp.com,43904,Retail Trade,57,48,Opportunity,Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-14 to discuss their specific needs. Cold call to Director at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with high employee turnover. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication.
Zachary,Jones,0,Manager,TransComp LLC,47687102,2384,2024-03-09,Japan,zjones@transcompllc.com,238436,Manufacturing,15,138,Prospect,Initial outreach via LinkedIn. Prospect expressed interest in our digital transformation services. Scheduled a discovery call for 2024-08-03 to discuss their specific needs. Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with high employee turnover. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-03 to discuss next steps.
Diedra,Matt,1,Manager,AIComp LLP,17264389,863,2024-05-27,Brazil,dmatt@aicompllp.com,86322,Agriculture,65,59,Opportunity,"Attended Sales Sinner and met with Manager. They're exploring options to improve their operational efficiency and mentioned our competitor, KPMG. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-22 to discuss their specific needs. Proposal for Exploratory Data Analysis sent. Highlighted our experience in Real Estate and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-22. Call with Manager to address their concerns about team's skills'. Reassured them about our commitment to delivering results and agreed on a plan of action. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Yaasmeena,el-Farah,1,CEO,NetHard Ltd,90355082,4518,2024-03-28,Brazil,yel-farah@nethardltd.com,451775,Retail Trade,39,119,Lead,Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Follow-up call after proposal submission. CTO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in customer experience.
Bryce,Heimbach,0,Manager,SuperHard Corp,93870199,4694,2024-02-19,China,bheimbach@superhardcorp.com,469351,Education,15,157,Suspect,Initial outreach via LinkedIn. Prospect expressed interest in our supply chain optimization. Scheduled a discovery call for 2024-08-04 to discuss their specific needs. Initial outreach via LinkedIn. Prospect expressed interest in our supply chain optimization. Scheduled a discovery call for 2024-08-04 to discuss their specific needs. Discovery call completed. Key takeaways: Prospect company is facing market expansion. They seem open to a strategic assessment. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in data analytics capabilities.
Katherine,Perez,1,Director,MegaTech LLC,95724222,4786,2024-05-04,USA,kperez@megatechllc.com,478621,Real Estate,41,82,Opportunity,"Attended Webinar and met with CEO. They're exploring options to improve their change management and mentioned our competitor, Deloitte. Follow-up email sent. Cold call to CEO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Sierra,Parsons,1,Manager,AIMart Ltd,95286512,4764,2024-06-19,France,sparsons@aimartltd.com,476433,Construction,13,36,Opportunity,"Attended Networking Event and met with CFO. They're exploring options to improve their customer experience and mentioned our competitor, Deloitte. Follow-up email sent. Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Discovery call completed. Key takeaways: Prospect company is facing declining sales. They seem open to a strategic assessment. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Zumruda,el-Ishmael,1,Director,SuperSys Group,19214427,961,2024-04-04,Germany,zel-ishmael@supersysgroup.com,96072,Transportation,20,112,Lead,"Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with difficulty adapting to remote work. Attended Sales Sinner and met with VP. They're exploring options to improve their AI implementation and mentioned our competitor, IBM IX. Follow-up email sent. Shared our company overview and case studies relevant to their industry. VP is particularly interested in understanding how we measure ROI on our engagements. Proposal for AI Roadmap sent. Highlighted our experience in Education and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-13."
Hyojae,Im,1,Director,NetStore Corp,63652924,3183,2024-06-03,Mexico,him@netstorecorp.com,318265,Real Estate,11,52,Opportunity,Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Initial outreach via LinkedIn. Prospect expressed interest in our data science consulting. Scheduled a discovery call for 2024-08-23 to discuss their specific needs. Shared our company overview and case studies relevant to their industry. CFO is particularly interested in understanding how we measure ROI on our engagements. Follow-up call after proposal submission. CFO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly.
Zain,el-Shahan,0,Manager,EcoMart Corp,75266764,3763,2024-04-28,Spain,zel-shahan@ecomartcorp.com,376334,Management,15,88,Opportunity,Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-11 to discuss their specific needs. Discovery call completed. Key takeaways: Prospect company is facing declining sales. They seem open to a strategic assessment. Follow-up call after proposal submission. Manager had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Manager requested a meeting to discuss expanding the project scope to include market research.
Makida,House,1,Manager,HighSys Inc,77121800,3856,2024-02-15,China,mhouse@highsysinc.com,385609,Real Estate,54,161,Suspect,"Attended Trade Show and met with Manager. They're exploring options to improve their customer experience and mentioned our competitor, KPMG. Follow-up email sent. Attended Trade Show and met with Manager. They're exploring options to improve their customer experience and mentioned our competitor, KPMG. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing shortage of qualified workers. They seem open to a strategic assessment. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in customer experience."
Girish,Pham,0,Marketing Associate,SuperSolve Ltd,49284329,2464,2024-06-13,China,gpham@supersolveltd.com,246422,Retail Trade,38,42,Opportunity,"Attended Webinar and met with Manager. They're exploring options to improve their data analytics capabilities and mentioned our competitor, IBM IX. Follow-up email sent. Attended Webinar and met with Manager. They're exploring options to improve their data analytics capabilities and mentioned our competitor, IBM IX. Follow-up email sent. Manager requested a meeting to discuss expanding the project scope to include market research."
Quiana,Bowman,1,Senior Manager,TransMart LLC,85355968,4268,2024-05-17,Germany,qbowman@transmartllc.com,426780,Transportation,6,69,Opportunity,"Attended Industry Conference and met with VP. They're exploring options to improve their AI implementation and mentioned our competitor, IBM IX. Follow-up email sent. Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-04 to discuss next steps."
Husaam,al-Obeid,0,Director,GlobalWare Group,13313809,666,2024-05-31,India,hal-obeid@globalwaregroup.com,66569,Construction,43,55,Opportunity,Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with cost reduction. Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with cost reduction. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-15 to discuss next steps.
Mutee'a,el-Jan,1,Manager,FarmTech Group,63352591,3168,2024-03-20,Germany,mel-jan@farmtechgroup.com,316763,Real Estate,51,127,Prospect,"Attended Coregistration Event and met with Director. They're exploring options to improve their change management and mentioned our competitor, Deloitte. Follow-up email sent. Attended Coregistration Event and met with Director. They're exploring options to improve their change management and mentioned our competitor, Deloitte. Follow-up email sent. Follow-up call after proposal submission. Director had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. Director requested a meeting to discuss expanding the project scope to include change management."
Waail,el-Rizk,0,Director,HighTech Corp,5586108,279,2024-04-03,Germany,wel-rizk@hightechcorp.com,27931,Information,66,113,Lead,Cold call to CEO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with difficulty adapting to remote work. Cold call to CEO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with difficulty adapting to remote work. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-20 to discuss next steps. CEO requested a meeting to discuss expanding the project scope to include product market fit.
Morgan,Russell,1,Manager,GlobalLogix LLP,28299432,1415,2024-02-08,USA,mrussell@globallogixllp.com,141497,Manufacturing,41,168,Suspect,"Attended Webinar and met with Manager. They're exploring options to improve their data analytics capabilities and mentioned our competitor, Bain. Follow-up email sent. Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Proposal for AI Roadmap sent. Highlighted our experience in Engineering and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-23. Manager requested a meeting to discuss expanding the project scope to include large language models."
Alena,Smith,1,Manager,FarmMart Corp,52230747,2612,2024-06-01,China,asmith@farmmartcorp.com,261154,Professional,15,54,Opportunity,"Attended Sales Sinner and met with VP. They're exploring options to improve their AI implementation and mentioned our competitor, BCG. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our supply chain optimization. Scheduled a discovery call for 2024-08-14 to discuss their specific needs. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Patty,Ly,1,Director,UltraSoft Group,6237159,312,2024-02-08,China,ply@ultrasoftgroup.com,31186,Arts,43,168,Suspect,Initial outreach via LinkedIn. Prospect expressed interest in our marketing strategy. Scheduled a discovery call for 2024-08-04 to discuss their specific needs. Initial outreach via LinkedIn. Prospect expressed interest in our marketing strategy. Scheduled a discovery call for 2024-08-04 to discuss their specific needs. Shared our company overview and case studies relevant to their industry. CTO is particularly interested in understanding how we measure ROI on our engagements. Follow-up call after proposal submission. CTO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly.
Sarah,Dahm,1,Marketing Coordinator,MegaQuest Ltd,87289956,4364,2024-04-28,Japan,sdahm@megaquestltd.com,436450,Agriculture,53,88,Opportunity,"Attended Trade Show and met with Manager. They're exploring options to improve their profit margins and mentioned our competitor, BCG. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our customer experience design. Scheduled a discovery call for 2024-08-03 to discuss their specific needs. Shared our company overview and case studies relevant to their industry. Manager is particularly interested in understanding how we measure ROI on our engagements."
Sasha,Wright,1,Manager,InfoStore LLP,75050697,3753,2024-02-13,Italy,swright@infostorellp.com,375253,Education,17,163,Suspect,Initial outreach via LinkedIn. Prospect expressed interest in our customer experience design. Scheduled a discovery call for 2024-08-03 to discuss their specific needs. Cold call to CEO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with merger. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication.
Nancy,Saenz,1,Manager,SecureSys Corp,32886744,1644,2024-04-07,France,nsaenz@securesyscorp.com,164434,Management,10,109,Lead,"Initial outreach via LinkedIn. Prospect expressed interest in our data science consulting. Scheduled a discovery call for 2024-08-11 to discuss their specific needs. Attended Sales Sinner and met with Director. They're exploring options to improve their change management and mentioned our competitor, KPMG. Follow-up email sent. Follow-up call after proposal submission. Director had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Competitor, KPMG, is also bidding for this project. We need to emphasize our unique strengths and tailor our approach to win this deal."
Jessenia,Perez,1,Manager,GlobalCom LLP,85605092,4280,2024-02-10,Australia,jperez@globalcomllp.com,428025,Information,18,166,Suspect,"Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Attended Coregistration Event and met with CFO. They're exploring options to improve their customer experience and mentioned our competitor, BCG. Follow-up email sent. Follow-up call after proposal submission. CFO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in customer experience."
Jose,Gomez,0,Director,FarmMart Ltd,39723411,1986,2024-07-16,Italy,jgomez@farmmartltd.com,198617,Real Estate,19,9,Closed Won,Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with difficulty adapting to remote work. Initial outreach via LinkedIn. Prospect expressed interest in our customer experience design. Scheduled a discovery call for 2024-08-19 to discuss their specific needs.
Abdur Raheem,el-Ali,0,Manager,FarmMart Group,71652306,3583,2024-02-02,South Korea,ael-ali@farmmartgroup.com,358262,Professional,71,174,Suspect,Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with cost reduction. Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with cost reduction. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-19 to discuss next steps. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in profit margins.
Aatifa,el-Ghazi,1,Marketing Coordinator,AILogix Group,54461851,2723,2024-03-20,USA,ael-ghazi@ailogixgroup.com,272309,Mining,59,127,Prospect,"Attended Coregistration Event and met with Manager. They're exploring options to improve their profit margins and mentioned our competitor, KPMG. Follow-up email sent. Attended Coregistration Event and met with Manager. They're exploring options to improve their profit margins and mentioned our competitor, KPMG. Follow-up email sent. Proposal for Digital Transformation Roadmap sent. Highlighted our experience in SaaS Software and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-15. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Fiona,Box,1,CEO,InfoMart LLC,26029099,1301,2024-03-20,Italy,fbox@infomartllc.com,130145,Wholesale Trade,44,127,Prospect,Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-24 to discuss their specific needs. Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Proposal for Exploratory Data Analysis sent. Highlighted our experience in Technology and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-24. CTO requested a meeting to discuss expanding the project scope to include large language models.
Julio,Herrera,0,Manager,TransHard Inc,29829110,1491,2024-04-24,Mexico,jherrera@transhardinc.com,149146,Wholesale Trade,55,92,Lead,"Attended Networking Event and met with VP. They're exploring options to improve their AI implementation and mentioned our competitor, McKinsey. Follow-up email sent. Attended Networking Event and met with VP. They're exploring options to improve their AI implementation and mentioned our competitor, McKinsey. Follow-up email sent. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-08 to discuss next steps. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in AI implementation."
Simone,Arroyo,1,Marketing Coordinator,SuperMart Group,82881608,4144,2024-05-05,Germany,sarroyo@supermartgroup.com,414408,Agriculture,37,81,Opportunity,"Attended Sales Sinner and met with Manager. They're exploring options to improve their operational efficiency and mentioned our competitor, BCG. Follow-up email sent. Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Discovery call completed. Key takeaways: Prospect company is facing market expansion. They seem open to a strategic assessment. Manager requested a meeting to discuss expanding the project scope to include generative AI."
