"","userid","dealamount","lastname","firstname","source","status","rep","company","firstcontact","won"
"91",66740620,30000,"Bearden","Carlo","Referral","Negotiation","Rachelle","Wonderful Services Inc.",2015-12-03,0
"92",34908013,30000,"Kalaga","Jasmine","Email","Suspect","Angelo","Great Services LLP",2016-03-24,0
"93",40065178,30000,"Martinez","Jonas","Email","Suspect","Shay","Wonderful Products LLP",2017-09-11,0
"94",99743717,90000,"Roblyer","Jamie","Webinar","Closed Won","Rachelle","Great Partners LLP",2012-11-16,1
"95",98782331,60000,"Ward","Hamda","Web","Proposal","Hunter","Popular Goods LLP",2016-10-12,0
"96",62429135,100000,"Wesley","Samantha","Conference","Proposal","Johnson","Popular Products Inc.",2012-05-11,0
"97",68083113,10000,"Clifford-Johnson","Aryan","Paid Ads","Prospect","Johnson","Wonderful Goods Inc.",2016-08-25,0
"98",49907542,50000,"Brooks","Brianna","Social","Negotiation","Hunter","Great Services LLP",2015-12-30,0
"99",26941624,70000,"el-Mahmud","Denzel","Webinar","Proposal","Angelo","Popular Services Inc.",2016-05-07,0
"100",29773982,100000,"Jivan","Maajida","Social","Proposal","Shay","Great Goods Inc.",2013-05-11,0
"101",10975937,10000,"Palenik","Giovanni","Social","Closed Won","Rachelle","Wonderful Products Inc.",2012-03-29,1
"102",11782799,50000,"Tipoti","Erica","Web","Suspect","Angelo","Wonderful Products LLP",2014-04-25,0
"103",33312193,90000,"Zhang","Brianna","Web","Prospect","Johnson","Great Enterprises LLC",2012-11-24,0
"104",89313727,90000,"Xatkoun","Jasmine","Trade Show","Closed Won","Hunter","Great Services LLC",2017-10-03,1
"105",46994507,50000,"el-Zakaria","Maggie","Conference","Suspect","Haamida","Popular Services LLC",2014-01-21,0
"106",30787471,100000,"Rubner Lansing","Jordan","Webinar","Opportunity","Rachelle","Wonderful Services LLC",2012-04-23,0
"107",17025971,30000,"Newbury","Ricky","Email","Lead","Haamida","Popular Partners LLC",2014-06-22,0
"108",52782148,80000,"Brown","Kaazima","Social","Closed Won","Angelo","Wonderful Goods LLC",2014-09-05,1
"109",3640321,20000,"Sandoval","Juan","Trade Show","Opportunity","Rachelle","Wonderful Products LLP",2017-09-08,0
"110",63454805,30000,"Benson","Matthew","Email","Negotiation","Johnson","Wonderful Enterprises Inc.",2012-12-03,0
"111",65579923,20000,"Palomino","Mahfooz","Conference","Closed Won","Victor","Wonderful Products Inc.",2014-07-30,1
"112",20059949,50000,"Kaibetoney","Leslie","Social","Lead","Shay","Wonderful Partners LLP",2013-02-14,0
"113",89393066,20000,"Lewis","Samantha","Conference","Prospect","Johnson","Popular Enterprises LLP",2013-02-19,0
"114",4311843,60000,"Archibeque","Monique","Trade Show","Opportunity","Angelo","Great Products Inc.",2014-08-03,0
"115",51164843,40000,"Schreiner","Adeeba","Web","Lead","Nestor","Great Enterprises LLC",2014-04-29,0
"116",50540373,60000,"Austin","Morgan","Paid Ads","Prospect","Haamida","Wonderful Services LLC",2016-11-23,0
"117",69430267,80000,"Feldman","Cody","Email","Closed Won","Victor","Great Goods LLP",2014-10-27,1
"118",13290151,50000,"Johnson","Laura","Referral","Opportunity","Nestor","Popular Enterprises LLP",2014-12-18,0
"119",99188534,40000,"al-Khalili","Richard","Social","Suspect","Shay","Wonderful Enterprises LLC",2012-03-19,0
"120",15049152,80000,"Perry","Kate","Conference","Lead","Johnson","Popular Services Inc.",2015-09-04,0
"121",40186124,70000,"Waters-Miller","Gomzur","Web","Closed Won","Johnson","Wonderful Enterprises Inc.",2012-06-01,1
"122",11264576,20000,"Berdaus","Tseren-Yondon","Paid Ads","Closed Won","Nestor","Great Products LLP",2013-03-02,1
"123",67638161,40000,"Roberts","Ameen","Web","Prospect","Nestor","Great Goods Inc.",2017-03-02,0
"124",23013680,40000,"Platero","Clay","Web","Closed Lost","Nestor","Popular Enterprises Inc.",2016-03-02,0
"125",64444339,30000,"Lee","Cecelia","Email","Proposal","Shay","Popular Enterprises LLP",2016-05-12,0
"126",98466218,50000,"el-Fares","Kylina","Email","Proposal","Shay","Popular Enterprises Inc.",2015-08-09,0
"127",18098618,20000,"Than","Damon","Paid Ads","Negotiation","Shay","Popular Partners Inc.",2016-03-28,0
"128",17441240,90000,"Fahrenbrink","Amanda","Webinar","Suspect","Johnson","Wonderful Partners LLC",2013-10-29,0
"129",92662873,40000,"Sandoval","Jeremiah","Conference","Lead","Victor","Great Partners LLP",2017-11-08,0
"130",13314724,60000,"Prinster","Saabira","Webinar","Opportunity","Hunter","Wonderful Services LLP",2017-09-07,0
"131",2309849,10000,"Schrader","Seung","Social","Proposal","Rachelle","Popular Enterprises LLP",2014-01-20,0
"132",79557939,40000,"Mandell","Patrick","Web","Proposal","Shay","Great Products LLC",2013-07-03,0
"133",72911333,60000,"Terry","Ruoqi","Paid Ads","Lead","Hunter","Popular Goods LLC",2014-11-05,0
"134",24578351,80000,"el-Darwish","Janice","Referral","Opportunity","Haamida","Popular Products Inc.",2017-07-02,0
"135",9738254,70000,"Mee","Matthew","Email","Opportunity","Victor","Great Services Inc.",2013-11-07,0
"136",14245127,80000,"Wojciechowski","Joshua","Trade Show","Negotiation","Nestor","Great Services LLP",2013-11-24,0
"137",57888076,60000,"Tolliver","Janelle","Webinar","Opportunity","Shay","Popular Products Inc.",2013-05-15,0
"138",23586107,50000,"Romero","Anhisha","Referral","Lead","Angelo","Popular Products LLP",2014-12-14,0
"139",90261843,20000,"el-Abu","Marilyn","Social","Negotiation","Haamida","Wonderful Partners LLC",2017-04-27,0
"140",66711812,50000,"Garcia","Jordy","Email","Prospect","Hunter","Wonderful Enterprises LLP",2013-03-29,0
"141",74158488,10000,"Ramirez Sanchez","Kimiko","Paid Ads","Suspect","Rachelle","Popular Products LLC",2015-12-03,0
"142",4647259,80000,"Ashcroft-Bitsilly","Sebastian","Paid Ads","Lead","Angelo","Wonderful Enterprises Inc.",2016-03-24,0
"143",65209307,30000,"Sharp","Destiny","Conference","Lead","Angelo","Popular Partners LLP",2017-09-11,0
"144",23075168,50000,"Howe","Raelina","Webinar","Closed Won","Haamida","Great Enterprises LLC",2012-11-16,1
"145",42947464,20000,"Vigil","Darrin","Email","Proposal","Nestor","Popular Partners LLP",2016-10-12,0
"146",72867391,50000,"Yon","Emily","Email","Negotiation","Rachelle","Great Services LLC",2012-05-11,0
"147",5807740,10000,"Coleman","Alex","Trade Show","Negotiation","Shay","Wonderful Services LLP",2016-08-25,0
"148",89723498,20000,"Cremas","Eric","Email","Prospect","Angelo","Great Partners LLC",2015-12-30,0
"149",66138377,80000,"al-Mohammad","Naqiyya","Social","Proposal","Victor","Popular Goods Inc.",2016-05-07,0
"150",51124454,70000,"Lucero","Faheem","Web","Closed Lost","Haamida","Popular Services LLP",2013-05-11,0
"151",1191743,100000,"Wright","Ian","Webinar","Proposal","Hunter","Popular Partners LLC",2012-03-29,0
"152",28217714,30000,"Ratzi","Mark","Web","Negotiation","Nestor","Great Services LLP",2014-04-25,0
"153",76174662,10000,"Lynam","Hishaam","Web","Negotiation","Nestor","Wonderful Products LLC",2012-11-24,0
"154",67126739,30000,"Mcdougald","Azhaar","Referral","Closed Won","Victor","Wonderful Services LLC",2017-10-03,1
"155",75112393,60000,"Truefeather","Shalynn","Conference","Prospect","Haamida","Popular Goods LLP",2014-01-21,0
"156",66070285,70000,"al-Huda","Jasmine","Email","Opportunity","Victor","Popular Goods LLP",2012-04-23,0
"157",12382722,50000,"Ballou","Sahar","Referral","Closed Won","Angelo","Great Products LLP",2014-06-22,1
"158",11890058,20000,"Mulugeta","Mallory","Social","Opportunity","Nestor","Popular Services Inc.",2014-09-05,0
"159",73943545,20000,"Shibre","Vanessa","Web","Prospect","Shay","Popular Goods Inc.",2017-09-08,0
"160",70365049,50000,"Salmeron-Salvador","Zaakirah","Paid Ads","Closed Won","Haamida","Wonderful Goods LLC",2012-12-03,1
"161",91771071,90000,"Wong","Brandon","Referral","Opportunity","Nestor","Great Products Inc.",2014-07-30,0
"162",98268866,30000,"Guajardo","Kaamil","Web","Closed Won","Angelo","Wonderful Enterprises Inc.",2013-02-14,1
"163",67286103,60000,"al-Ahmad","Natosha","Conference","Closed Won","Nestor","Popular Products LLC",2013-02-19,1
"164",460289,20000,"Ruano Favela","Katryn","Conference","Lead","Angelo","Wonderful Products LLP",2014-08-03,0
"165",62230368,90000,"al-Yousif","Tawfeeqa","Paid Ads","Closed Lost","Angelo","Popular Services LLC",2014-04-29,0
"166",6021285,40000,"Olson","Tyler","Social","Proposal","Haamida","Popular Services LLC",2016-11-23,0
"167",24767368,60000,"Eggleton","Shae","Web","Suspect","Johnson","Popular Partners Inc.",2014-10-27,0
"168",46452611,100000,"el-Assad","Kiana","Email","Negotiation","Angelo","Popular Services LLP",2014-12-18,0
"169",84827453,10000,"Walters","Tayanna","Paid Ads","Negotiation","Hunter","Wonderful Services Inc.",2012-03-19,0
"170",62223157,50000,"Lor","Ismaeel","Web","Prospect","Haamida","Wonderful Partners LLC",2015-09-04,0
"171",58270735,80000,"Kirby","Brandon","Webinar","Opportunity","Hunter","Popular Goods Inc.",2012-06-01,0
"172",60984124,60000,"Gandarilla-Gutierrez","Amber","Trade Show","Closed Lost","Hunter","Wonderful Goods LLP",2013-03-02,0
"173",50915067,40000,"el-Huda","Jovan","Email","Lead","Nestor","Great Partners Inc.",2017-03-02,0
"174",57770766,70000,"Arnold","Scott","Referral","Suspect","Victor","Wonderful Partners LLP",2016-03-02,0
"175",55169701,30000,"al-Moustafa","Kelia","Paid Ads","Lead","Johnson","Wonderful Partners LLP",2016-05-12,0
"176",25248742,60000,"Holzer","Randal","Email","Closed Lost","Victor","Popular Enterprises LLC",2015-08-09,0
"177",78348217,80000,"Divirgilio","Joanna","Web","Lead","Rachelle","Wonderful Goods LLC",2016-03-28,0
"178",89547669,100000,"Shim","Alex","Web","Closed Lost","Angelo","Great Products Inc.",2013-10-29,0
"179",40544792,90000,"el-Shareef","Sydney","Email","Lead","Nestor","Wonderful Goods LLP",2017-11-08,0
"180",40629782,30000,"Blackmond","Pete","Referral","Suspect","Hunter","Popular Goods LLP",2017-09-07,0
"181",80820107,10000,"Guo","Irma","Social","Suspect","Hunter","Great Products LLP",2014-01-20,0
"182",39155137,100000,"Garcia","John","Email","Suspect","Nestor","Great Services LLC",2013-07-03,0
"183",63307293,20000,"al-Shad","Kyleigh","Trade Show","Opportunity","Hunter","Great Products LLP",2014-11-05,0
"184",81901774,20000,"Courtney","Baaqir","Webinar","Closed Won","Haamida","Wonderful Goods LLP",2017-07-02,1
"185",82885242,30000,"Brown","David","Trade Show","Suspect","Haamida","Wonderful Partners LLP",2013-11-07,0
"186",28113005,40000,"Duval","Joshua","Referral","Negotiation","Nestor","Great Enterprises Inc.",2013-11-24,0
"187",81785877,10000,"Park","Cheri","Trade Show","Proposal","Hunter","Great Services Inc.",2013-05-15,0
"188",52902128,10000,"Hoong","Terry","Social","Suspect","Victor","Great Services Inc.",2014-12-14,0
"189",72123887,50000,"al-Jabara","Anthony","Trade Show","Lead","Johnson","Popular Services Inc.",2017-04-27,0
"190",73793778,20000,"Jackson","Louis","Referral","Opportunity","Rachelle","Wonderful Partners LLC",2013-03-29,0
"191",33634500,70000,"al-Shehata","John","Paid Ads","Closed Lost","Johnson","Great Goods LLC",2015-12-03,0
"192",8223191,90000,"Minter","Hannah","Referral","Suspect","Hunter","Wonderful Services Inc.",2016-03-24,0
"193",42673416,10000,"al-Ahmed","Husniyya","Email","Closed Lost","Rachelle","Great Partners LLP",2017-09-11,0
"194",99464331,80000,"Tipoti","Anya","Conference","Proposal","Haamida","Wonderful Enterprises LLC",2012-11-16,0
"195",58845140,80000,"Perez","Destinee","Webinar","Lead","Rachelle","Popular Products LLP",2016-10-12,0
"196",93211176,100000,"King","Miqdaam","Conference","Closed Won","Shay","Wonderful Products LLC",2012-05-11,1
"197",61559857,90000,"Abdalla-Lenox","Kevin","Webinar","Suspect","Johnson","Popular Enterprises LLP",2016-08-25,0
"198",4896707,100000,"el-Qazi","Cheyenne","Webinar","Closed Won","Johnson","Great Goods LLC",2015-12-30,1
"199",5797025,20000,"Greening","Irfaan","Trade Show","Opportunity","Nestor","Great Services LLC",2016-05-07,0
"200",78203166,10000,"Bush","Emerson","Trade Show","Opportunity","Johnson","Popular Partners LLC",2013-05-11,0
"201",96517477,30000,"Yang","Muna","Web","Suspect","Rachelle","Wonderful Enterprises Inc.",2012-03-29,0
"202",53764360,80000,"Pierce","Devon","Social","Opportunity","Nestor","Great Goods Inc.",2014-04-25,0
"203",45070424,20000,"Ornelas Ponce De Leo","D'Ambara","Email","Prospect","Hunter","Great Goods LLP",2012-11-24,0
"204",81057038,80000,"el-Fahmy","Sarena","Web","Opportunity","Shay","Great Partners Inc.",2017-10-03,0
"205",86531313,50000,"Proctor","Juhaina","Web","Negotiation","Victor","Popular Partners LLP",2014-01-21,0
"206",78615753,20000,"Rivera","Rachel","Paid Ads","Closed Lost","Rachelle","Great Goods LLP",2012-04-23,0
"207",13328415,70000,"Rhone","Taylor","Web","Closed Lost","Hunter","Popular Enterprises LLC",2014-06-22,0
"208",14330148,40000,"Paskemin","Adam","Conference","Suspect","Haamida","Wonderful Products Inc.",2014-09-05,0
"209",9250439,40000,"el-Attar","Joshua","Webinar","Closed Won","Hunter","Wonderful Goods LLP",2017-09-08,1
"210",54366138,60000,"Lauman","Sevy","Social","Closed Won","Angelo","Popular Goods LLP",2012-12-03,1
"211",81366305,30000,"Yates","Destiny","Webinar","Suspect","Hunter","Great Goods LLP",2014-07-30,0
"212",92541592,40000,"Dutton","Breann","Trade Show","Negotiation","Hunter","Popular Enterprises LLP",2013-02-14,0
"213",11988260,40000,"Esfahani","Aaron","Web","Proposal","Haamida","Great Services Inc.",2013-02-19,0
"214",56740970,60000,"al-Can","Paige","Paid Ads","Opportunity","Hunter","Great Partners Inc.",2014-08-03,0
"215",36846490,60000,"Chacon","Hadley","Referral","Closed Won","Rachelle","Popular Partners Inc.",2014-04-29,1
"216",58469591,100000,"Davis","Kevin","Trade Show","Closed Lost","Hunter","Popular Partners LLP",2016-11-23,0
"217",97906360,40000,"Wheeler","Katherine","Trade Show","Lead","Haamida","Wonderful Partners LLP",2014-10-27,0
"218",38271365,60000,"Linares","Bowen","Referral","Opportunity","Johnson","Wonderful Services Inc.",2014-12-18,0
"219",50268278,80000,"Leal","Selina","Referral","Proposal","Hunter","Popular Partners LLP",2012-03-19,0
"220",2644283,90000,"Nazarchuk","John","Social","Lead","Johnson","Popular Products LLP",2015-09-04,0
"221",11545353,20000,"al-Soliman","Robert","Conference","Proposal","Rachelle","Wonderful Goods LLC",2012-06-01,0
"222",23939324,20000,"el-Bahri","Dominieck","Email","Suspect","Haamida","Popular Products LLC",2013-03-02,0
"223",44983986,10000,"Ridley","Joshayia","Conference","Closed Won","Hunter","Great Goods LLC",2017-03-02,1
"224",20941157,80000,"el-Shahid","Zoe","Referral","Suspect","Hunter","Great Enterprises LLC",2016-03-02,0
"225",79302985,20000,"al-Shaheen","Emilie","Email","Closed Won","Hunter","Great Products Inc.",2016-05-12,1
"226",45521989,20000,"Toquinto","Thaabita","Social","Opportunity","Nestor","Popular Partners Inc.",2015-08-09,0
"227",88750271,50000,"Ontiveros","Sharaf","Email","Negotiation","Victor","Great Products Inc.",2016-03-28,0
"228",84557671,100000,"Smith","Maeselle","Email","Suspect","Rachelle","Great Goods LLC",2013-10-29,0
"229",40017628,90000,"Yang","Tony","Webinar","Prospect","Johnson","Great Services LLP",2017-11-08,0
"230",16993018,30000,"Knoll","Isaac","Conference","Opportunity","Shay","Great Enterprises LLC",2017-09-07,0
"231",32085567,30000,"Vaughn","William","Paid Ads","Prospect","Nestor","Wonderful Products LLP",2014-01-20,0
"232",83998471,60000,"Martinez","Mumtaaza","Social","Proposal","Victor","Great Partners Inc.",2013-07-03,0
"233",3283693,90000,"Anderle","Luis","Web","Closed Won","Hunter","Popular Services Inc.",2014-11-05,1
"234",46458214,90000,"Sher","Zachary","Webinar","Suspect","Victor","Wonderful Goods Inc.",2017-07-02,0
"235",64585567,20000,"Gonzalez","John","Trade Show","Closed Lost","Victor","Popular Enterprises LLP",2013-11-07,0
"236",49788829,60000,"Valle-Arellano","Spencer","Email","Opportunity","Rachelle","Great Products Inc.",2013-11-24,0
"237",27593340,100000,"al-Riaz","Brianna","Conference","Lead","Johnson","Wonderful Goods Inc.",2013-05-15,0
"238",19508490,40000,"Gomez","Austin","Webinar","Proposal","Nestor","Popular Products Inc.",2014-12-14,0
"239",3045474,10000,"Martinez","Melissa","Conference","Closed Lost","Johnson","Popular Products LLP",2017-04-27,0
"240",74265575,60000,"Reat","Joliyah","Email","Closed Won","Nestor","Popular Goods LLP",2013-03-29,1
"241",40520281,50000,"Benson","Niashay","Trade Show","Negotiation","Shay","Wonderful Goods LLC",2015-12-03,0
"242",19112218,80000,"Moore","Nikki","Social","Opportunity","Shay","Wonderful Enterprises LLC",2016-03-24,0
"243",42178807,40000,"Valencia","Irving","Email","Proposal","Angelo","Great Goods LLP",2017-09-11,0
"244",58565193,50000,"Peterman","Jessica","Email","Opportunity","Nestor","Great Goods LLP",2012-11-16,0
"245",22047429,30000,"el-Mian","Breanna","Email","Suspect","Nestor","Popular Products LLC",2016-10-12,0
"246",28207667,90000,"al-Dib","Noah","Email","Closed Won","Angelo","Wonderful Enterprises Inc.",2012-05-11,1
"247",30076454,80000,"Howes","Drolma","Email","Suspect","Johnson","Great Services LLC",2016-08-25,0
"248",64083678,10000,"al-Mahmood","Marible","Conference","Closed Lost","Nestor","Great Products LLC",2015-12-30,0
